Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
Empreitada n.º 314/DMMC/DIOA/DGI/2024  REQUALIFICAÇÃO DA RUA 1.º CABO JOSÉ MARTINS SILVESTRE (Processo nº 19/CP/DGES/ND/2022);Concurso público;Empreitadas de obras públicas;45211360-0;Principal;Obras de urbanização;113561.76 € ;Município de Lisboa (500051070);"MANUEL GOMES DE ALMEIDA & FILHO, LDA (501379754)";"113.561,76 €";01-04-2026;27-03-2026;120 dias;Portugal;"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/ODI2NTA0;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
PRC/2025/162/DAR/CP - Serviços de Gestão de Resíduos do Tratamento de Águas Residuais do Polo Mondego;Concurso público;Aquisição de serviços;90500000-2;Principal;Serviços relativos a resíduos e lixos;739714.17 € ;"Águas do Centro Litoral, SA (513606181)";"PlenaVia - Construção e Conservação de Vias, Lda. (505886154)";"739.714,17 €";01-04-2026;20-03-2026;1096 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTg5MzA1;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
FEUP | CPI N.º 06/2025 - AQUISIÇÃO DE EQUIPAMENTO DE MANUFATURA ADITIVA POR DIRECTED ENERGY DEPOSITION (DED);Concurso público;Aquisição de bens móveis;38810000-6;Principal;Equipamento para controlo de processos industriais;335222.5 € ;Universidade do Porto - Reitoria (501413197);AIMEN ASOCIATION DE INV. METAL. DEL NOROESTE (G36606291);"335.222,50 €";01-04-2026;18-03-2026;73 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.anogov.com/up-feup/faces/app/acessoDocs.jsp?codigoAcesso=GO3nG9LEnazo7RfVyMS7BPjvaDxRy9xtjDn4npZFIqOsO9vD7Y;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
MICROBALANÇA GRAVIMÉTRICA ;Concurso público;Aquisição de bens móveis;38310000-1;Principal;Balanças de precisão;240000.0 € ;Universidade do Porto (501413197);"Norleq- Equipamentos e Serviços, Lda (509880509)";"240.000,00 €";01-04-2026;31-03-2026;60 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1ODkzNA;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
25AB00007438-Lt 1-Aquisição de equipamentos para posto de trabalho-Portáteis-;Concurso público;Aquisição de bens móveis;30200000-1;Principal;Equipamento e material informático;1.3037E7 € ;"Instituto de Gestão Financeira e Equipamentos da Justiça, IP (510361242)";"BASE2, LDA (501333401)";"13.037.000,00 €";01-04-2026;26-03-2026;150 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/U0p4aUNYSis4dldQenhUVmJUTy9ZbG1YN2t5NDBBYlBRNTZ0VEdycFZScVVEK3BlbnlkTHh6ellqeWM5bTR3V1RLdnJzb2FWbmNhdHZ6ZitFbFBSRUE9PSVUdU5f;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE VIDROS PARA BENEFICIAÇÕES DIVERSAS EM EDIFÍCIOS MUNICIPAIS E ESCOLARES;Concurso público;Aquisição de bens móveis;14820000-5;Principal;Vidro;150000.0 € ;Município de Penafiel (501073663);"Vidriluz Fonsecas & Frade, Lda. (500693897)";"150.000,00 €";01-04-2026;30-03-2026;1096 dias;"Portugal, Porto, Penafiel";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/NjNXUEpDU3gyaGp2SDJYSjFvVm1jeTJLSXRVY2plaXdydjdCZDhvTzNBcGQybXhuUWFrMExQMmNjS0Z6WU1qNFV5eSt3YXdlVHRvZHc3TGlIR0Qwd1E9PUpwN3Qz;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
CP nº 2/2026 - Aquisição de Equipamentos Científicos para o Laboratório Ótica Aplicada do CO da Unidade de I&D FibEnTech - Universidade da Beira Interior;Concurso público;Aquisição de bens móveis;38900000-4;Principal;Instrumentos diversos de avaliação ou ensaio;35990.0 € ;Universidade da Beira Interior (502083514);"COLORMETRIX – Colorimetria Sistemas e Serviços, Lda., (513260889)";"35.990,00 €";01-04-2026;31-03-2026;90 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1NDYxMQ;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços de assistente de sala;Concurso público;Aquisição de serviços;92000000-1;Principal;"Serviços recreativos, culturais e desportivos";38844.0 € ;"Faz Cultura - Empresa Municipal de Cultura de Braga, EM (500463964)";"KNOW HOW – SOCIEDADE DE ENSINO DE LÍNGUAS E ACÇÃO SOCIAL, UNIPESSOAL, LDA. (502034866)";"38.844,00 €";01-04-2026;31-03-2026;274 dias;"Portugal, Braga, Braga";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA2ODMzOA;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
CP nº 2/2026 - Aquisição de Equipamentos Científicos para o Laboratório Ótica Aplicada do CO da Unidade de I&D FibEnTech - Universidade da Beira Interior;Concurso público;Aquisição de bens móveis;38900000-4;Principal;Instrumentos diversos de avaliação ou ensaio;10500.0 € ;Universidade da Beira Interior (502083514);"Jestma Maquinas Costura; Lda (502099755)";"10.500,00 €";01-04-2026;31-03-2026;90 dias;"Portugal, Castelo Branco, Covilhã";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1NDYxMQ;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"CT-25/01580 – Aquisição de bens de informática e comunicações para 2026, em regime de fornecimento contínuo";Concurso público;Aquisição de bens móveis;31680000-6;Principal;Aparelhos e acessórios eléctricos;30000.0 € ;Município de Sintra (500051062);"Henvi - Equipamentos Industriais, Lda. (500918503)";"30.000,00 €";01-04-2026;20-03-2026;286 dias;"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/T2hOYWlHSHpZUnhYV055THNub1kyWG9xT0NrOFowQU5JK1d6Szl5MVpCc1RHMFFtQTAvL3pxTWRkaVp4Q3hJK0RvQXZSN2lGc2w4MkI2NDZtbXpMOFE9PV5la2h2;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Empreitada de Obras Públicas ""Alteração e ampliação de edifício, Fração B, para Loja de Cidadão de Celorico da Beira.";Concurso público;Empreitadas de obras públicas;45200000-9;Principal;Obras de construção total ou parcial e de engenharia civil;963645.0 € ;Município de Celorico da Beira (506849635);"Efima, Lda (513097759)";"963.645,00 €";01-04-2026;03-03-2026;180 dias;"Portugal, Guarda, Celorico da Beira";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwOTEwNQ;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Concurso Público para a Contratação de Serviço de Transporte Rodoviário de Passageiros na Região da Comunidade Intermunicipal das Beiras e Serra da Estrela;Concurso público;Aquisição de serviços;60100000-9;Principal;Serviços de transporte rodoviário;9680539.43 € ;Comunidade Intermunicipal das Beiras e Serra da Estrela (513025766);TBSE Unipessoal Lda (519167210);"9.680.539,43 €";01-04-2026;24-03-2026;1826 dias;"Portugal, Guarda, Guarda";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/ODAwMjM1;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para UCI;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;34530.75 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";"INTERSURGICAL PORTUGAL, COMÉRCIO DE PRODUTOS HOSPITALARES, UNIPESSOAL, LDA. (503480045)";"34.530,75 €";01-04-2026;17-03-2026;365 dias;"Portugal, Faro, Portimão<BR/>Portugal, Faro, Faro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/UXBBNFlJY1pKWGtJMGthTVV6ZHloM01md0lNR1VNR2gxdlVQZ1IwcEYxQUNkdmhsZzhsRDF2Q25GaGdmMTVvNEpxL0R0Y2tFSEpUNVlvU2Y3RmhJYXc9PUlZamcy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de serviços para a Assessoria Técnica Especializada;Concurso público;Aquisição de serviços;79411000-8;Principal;Serviços gerais de consultoria em matéria de gestão geral;121951.22 € ;Município de Faro (506579425);"SMART VISION - ASSESSORES E AUDITORES ESTRATÉGICOS, LDA (507291956)";"121.951,22 €";01-04-2026;31-03-2026;456 dias;"Portugal, Faro, Faro";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1MTA0OQ;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para UCI;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;3638.0 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";"H.R Hospitalar, Lda. (501895558)";"3.638,00 €";01-04-2026;04-03-2026;365 dias;"Portugal, Faro, Faro<BR/>Portugal, Faro, Portimão";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/UXBBNFlJY1pKWGtJMGthTVV6ZHloM01md0lNR1VNR2gxdlVQZ1IwcEYxQUNkdmhsZzhsRDF2Q25GaGdmMTVvNEpxL0R0Y2tFSEpUNVlvU2Y3RmhJYXc9PUlZamcy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para UCI;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;2189.9 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";ESTERIPLAS (502020776);"2.189,90 €";01-04-2026;04-03-2026;365 dias;"Portugal, Faro, Faro<BR/>Portugal, Faro, Portimão";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/UXBBNFlJY1pKWGtJMGthTVV6ZHloM01md0lNR1VNR2gxdlVQZ1IwcEYxQUNkdmhsZzhsRDF2Q25GaGdmMTVvNEpxL0R0Y2tFSEpUNVlvU2Y3RmhJYXc9PUlZamcy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Serviços de Seguros  Ramo Acidentes em Trabalho;Concurso público;Aquisição de serviços;66510000-8;Principal;Serviços de seguros;82076.98 € ;Câmara Municipal de Miranda do Douro (506806898);"Fidelidade Companhia de Seguros, S.A. (500918880)";"82.076,98 €";01-04-2026;31-03-2026;731 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1NzM5Ng;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE MATERIAL DE TRAUMATOLOGIA;Concurso público;Aquisição de bens móveis;33183200-8;Principal;Próteses ortopédicas;17680.0 € ;Santa Casa da Misericórdia de Lisboa (500745471);JOHNSON & JOHNSON LDA (500153370);"17.680,00 €";01-04-2026;31-03-2026;731 dias;"Portugal, Lisboa, Cascais";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTk2MDQ2;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para UCI;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;22000.0 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";"MICRO-TECH PORTUGAL, UNIPESSOAL LDA. (503818348)";"22.000,00 €";01-04-2026;17-03-2026;365 dias;"Portugal, Faro, Portimão<BR/>Portugal, Faro, Faro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/UXBBNFlJY1pKWGtJMGthTVV6ZHloM01md0lNR1VNR2gxdlVQZ1IwcEYxQUNkdmhsZzhsRDF2Q25GaGdmMTVvNEpxL0R0Y2tFSEpUNVlvU2Y3RmhJYXc9PUlZamcy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de Serviços de Gestão de Infraestruturas Turísticas, ao Nível do Tratamento de Roupa (Recolha e Colocação), Gestão de Equipamentos, Serviços de Hotelaria e Higienização e Limpeza dos Espaços Propriedade dos SSGNR";Concurso público;Aquisição de serviços;90900000-6;Principal;Serviços de limpeza e saneamento;11025.0 € ;Serviços Sociais da Guarda Nacional Republicana (501433813);Dragondisplay (515109509);"11.025,00 €";01-04-2026;31-03-2026;1096 dias;"Portugal, Setúbal, Santiago do Cacém";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/VVNrOFZFZm9sM0FoZTgxamJrS0JHS3JXaEZZVHYzWWQzdTJ4Yzh0a1BPUG1OOU9WalRHSkpWWlptNXZheHRXN1JMSU1senU1N0RBdVlxVUMzaUtLU3c9PXBDMVlL;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
142002026 Aquisição de Broncofibroscópios para a ULSLO 2026;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;102170.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, EPE (507618319)";Lusopalex - Produtos de Saude Unipessoal Lda (503531588);"102.170,00 €";01-04-2026;26-03-2026;366 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/WHpJcWtoSmZGRXZlWjFUcktrcDBUcjlOS1l1anV4bU45NWFabTdjUnRlUHFPZk5ETVh0MHNUZXdIM0haMDEyQXlRMTYvaHJ4RU5EYVFCdHNsY0o0YWc9PWwwd1VH;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Concurso Público n.º 27/2025  Aquisição de equipamentos de robótica para o Instituto Politécnico de Viseu no âmbito do projeto PRR - LFA - Impulso Jovens Steam e Impulso Adulto;Concurso público;Aquisição de bens móveis;31720000-9;Principal;Equipamento electromecânico;47765.0 € ;Instituto Politécnico de Viseu (680033548);F.FONSECA S.A. (500833982);"47.765,00 €";01-04-2026;23-03-2026;60 dias;"Portugal, Viseu, Viseu";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwNTY2NA;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
142002026 Aquisição de Broncofibroscópios para a ULSLO 2026;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;36000.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, EPE (507618319)";Iberdata - Equipamentos - SA (501904921);"36.000,00 €";01-04-2026;25-03-2026;366 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/WHpJcWtoSmZGRXZlWjFUcktrcDBUcjlOS1l1anV4bU45NWFabTdjUnRlUHFPZk5ETVh0MHNUZXdIM0haMDEyQXlRMTYvaHJ4RU5EYVFCdHNsY0o0YWc9PWwwd1VH;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para UCI;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;8202.44 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";"MEDICINÁLIA CORMÉDICA - MCMEDICAL, LIMITADA (500684324)";"8.202,44 €";01-04-2026;04-03-2026;365 dias;"Portugal, Faro, Faro<BR/>Portugal, Faro, Portimão";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/UXBBNFlJY1pKWGtJMGthTVV6ZHloM01md0lNR1VNR2gxdlVQZ1IwcEYxQUNkdmhsZzhsRDF2Q25GaGdmMTVvNEpxL0R0Y2tFSEpUNVlvU2Y3RmhJYXc9PUlZamcy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Concurso Público n.º24/2025  Aquisição de equipamento informático no âmbito do Projeto INOV3P para o Instituto Politécnico de Viseu;Concurso público;Aquisição de bens móveis;30236000-2;Principal;Equipamento informático diverso;8565.0 € ;Instituto Politécnico de Viseu (680033548);António Ezequias Gamba-AEG;"8.565,00 €";01-04-2026;23-03-2026;30 dias;"Portugal, Viseu, Viseu<BR/>Portugal, Viseu, Viseu";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwNDE0Nw;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
0200057.232026 - Aquisição de Cateteres e Fixadores para Acessos Venosos Centrais;Concurso público;Aquisição de bens móveis;33141200-2;Principal;Cateteres;204000.0 € ;"Unidade Local de Saúde de Entre o Douro e Vouga, EPE (508878462)";"BECTON DICKINSON PORTUGAL, UNIPESSOAL, LDA (514239743)";"204.000,00 €";01-04-2026;25-02-2026;1095 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/MXlBNW40OVErTnBSeG04Ujl4Zk00cmZqUkNubkRzUHlRK0NDemF5UUxWdEtoKzBrRmcyK25iNGxhOU85a3VmZmNxNjNyMWd1cFFxcC82M2Z6N0tKTFE9PShaclVI;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE MATERIAL DE TRAUMATOLOGIA;Concurso público;Aquisição de bens móveis;33183200-8;Principal;Próteses ortopédicas;16120.0 € ;Santa Casa da Misericórdia de Lisboa (500745471);JOHNSON & JOHNSON LDA (500153370);"16.120,00 €";01-04-2026;31-03-2026;731 dias;"Portugal, Lisboa, Cascais";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTk2MDQ2;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
142002026 Aquisição de Broncofibroscópios para a ULSLO 2026;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;64185.0 € ;"Unidade Local de Saúde de Lisboa Ocidental, EPE (507618319)";"SPACEINSP DISPOSITIVOS MEDICOS, LDA (514126329)";"64.185,00 €";01-04-2026;30-03-2026;366 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/WHpJcWtoSmZGRXZlWjFUcktrcDBUcjlOS1l1anV4bU45NWFabTdjUnRlUHFPZk5ETVh0MHNUZXdIM0haMDEyQXlRMTYvaHJ4RU5EYVFCdHNsY0o0YWc9PWwwd1VH;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Concurso Público n.º24/2025  Aquisição de equipamento informático no âmbito do Projeto INOV3P para o Instituto Politécnico de Viseu;Concurso público;Aquisição de bens móveis;30236000-2;Principal;Equipamento informático diverso;6058.0 € ;Instituto Politécnico de Viseu (680033548);"Ésistemas Consultoria de Sistemas de Comunicação Visual e Multimédia, Lda (506504948)";"6.058,00 €";01-04-2026;23-03-2026;30 dias;"Portugal, Viseu, Viseu";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwNDE0Nw;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para UCI;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;3760.0 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";"CARDIVA PORTUGAL UNIPESSOAL, LDA. (508570514)";"3.760,00 €";01-04-2026;04-03-2026;365 dias;"Portugal, Faro, Portimão<BR/>Portugal, Faro, Faro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/UXBBNFlJY1pKWGtJMGthTVV6ZHloM01md0lNR1VNR2gxdlVQZ1IwcEYxQUNkdmhsZzhsRDF2Q25GaGdmMTVvNEpxL0R0Y2tFSEpUNVlvU2Y3RmhJYXc9PUlZamcy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQS/CPU/011/26 Aquisição de produtos alimentares frescos e congelados para ações de formação - Fornecimento continuado até dezembro de 2026;Concurso público;Aquisição de bens móveis;03311000-2;Principal;Peixes;14441.55 € ;Centro de Formação Profissional para o Sector Alimentar (506024717);"SaborFrio, Unipessoal Lda (508682002)";"14.441,55 €";01-04-2026;31-03-2026;274 dias;"Portugal, Lisboa, Odivelas";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.compraspt.com/cpt-cfpsa/faces/app/acessoDocs.jsp?codigoAcesso=Lt99Xn3yM65Y6lFDGrPwfx8oJonYEBzA7jNHf66HjbsSx1vRqD;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE MATERIAL DE TRAUMATOLOGIA;Concurso público;Aquisição de bens móveis;33183200-8;Principal;Próteses ortopédicas;32900.0 € ;Santa Casa da Misericórdia de Lisboa (500745471);JOHNSON & JOHNSON LDA (500153370);"32.900,00 €";01-04-2026;31-03-2026;731 dias;"Portugal, Lisboa, Cascais";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTk2MDQ2;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Concurso Público n.º24/2025  Aquisição de equipamento informático no âmbito do Projeto INOV3P para o Instituto Politécnico de Viseu;Concurso público;Aquisição de bens móveis;30236000-2;Principal;Equipamento informático diverso;18319.0 € ;Instituto Politécnico de Viseu (680033548);"Linkcom - Sistemas de Informacao, SA (505046547)";"18.319,00 €";01-04-2026;23-03-2026;30 dias;"Portugal, Viseu, Viseu";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwNDE0Nw;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
0200083.232026 - Aquisição de Material de Consumo Clinico de Manutenção a Cateteres Venosos Centrais;Concurso público;Aquisição de bens móveis;33141000-0;Principal;Material médico não químico descartável e produtos hematológicos;93000.0 € ;"Unidade Local de Saúde de Entre o Douro e Vouga, EPE (508878462)";PMH PRODUTOS MEDICO HOSPITALARES SA (502376899);"93.000,00 €";01-04-2026;12-03-2026;365 dias;"Portugal, Aveiro, Santa Maria da Feira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/a0UvdWNPSkxmRjdoOEJyeHRWWkVYdzU3V3cyOU94anM0OHRtbjQzSkVQODhWM3ZzcDdYZmlsRHlVc0xOR1dQaEZ3eHh6RGRGMVV3aU9CU1lJQjlZL0E9PXRoXihm;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
