idcontrato,tipoContrato,tipoFimContrato,CPV,adjudicante,adjudicatarios,concorrentes,precoBaseProcedimento,precoContratual,PrecoTotalEfetivo,dataDecisaoAdjudicacao,dataCelebracaoContrato,dataPublicacao,dataFechoContrato,nr_concorrentes,city,cpv_prefix,agg_cpv,contribuinte_adjudicante,contribuinte_adjudicatarios,adjudicante_clean,adjudicatarios_clean
9676557,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",44164000-7 - Tubagem de revestimento e tubos,SIMAR – Serviços Intermunicipalizados de Loures e Odivelas,"HUMBERTO POÇAS, S.A.",,72500.0,8842.41,8842.41,2022-12-19,2023-01-04,2023-01-05,2023-10-03,0,Loures,44,Construção,680009671,501075666,simar servicos intermunicipalizados de loures e odivelas,humberto pocas
9678006,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",03221000-6 - Produtos hortícolas,Serviços de Ação Social da Universidade do Minho,Madiguima Comercio de frutas lda,"501865969-Frutas Ribeiros - Comércio de Frutas, Lda. | 503301205-MADIGUIMA - Comércio de Frutas, Lda | 510396429-EXUMAS CONSULTING GROUP LDA. | 500271518-Sogenave - Sociedade Geral de Abastecimentos à Navegação e Indústria Hoteleira, SA",89835.18,16894.0,10167.13,2022-12-29,2023-01-03,2023-01-05,2023-07-13,4,Braga,03,Agricultura e pesca,680047360,503301205,servicos de acao social da universidade do minho,madiguima comercio de frutas
9678831,Empreitadas de obras públicas,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",45453100-8 - Obras de recuperação,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.",SANTOS &amp; CIPRIANO - CONSTRUÇÕES CIVIS E OBRAS PÚBLICAS LDA,"509649742-CSQL Engenharia , Construção e Serviços Lda | 503482692-José Antunes Pinheiro Lda | 516024400-REFERÊNCIA IMBATIVEL, Unipessoal Lda, | 510819826-CRVM, Engenharia e Construção Unipessoal, Lda., | 504789112-SANTOS &amp; CIPRIANO - CONSTRUÇÕES CIVIS E OBRAS PÚBLICAS LDA | 510800980-MARGEM MÍTICA – MANUTENÇÃO E REABILITAÇÃO UNIPESSOAL, LDA. | 501301704-Ramiro &amp; Delgado - Construções civis e obras públicas, Lda | 514831138-Resposta Versátil, Lda | 509944647-Construbuild - Services, Limitada | 510813135-Autentifuturo - Restauros, Unipessoal Lda | 510347533-Serviço Vigente Lda.",51000.0,40813.0,40813.0,2022-12-07,2023-01-03,2023-01-05,2023-05-15,11,Lisboa,45,Construção,503541567,504789112,gebalis gestao do arrendamento da habitacao municipal de lisboa e m,santos &amp cipriano construcoes civis e obras publicas
9681314,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",32420000-3 - Equipamento de rede,Instituto Superior Técnico,"Warpcom Services, S.A","505134195-WARPCOM SERVICES, S.A. | 980576415-Sistemas Avanzados de Tecnologia, SA - Sucursal em Portugal",165000.0,64529.6,64529.6,2022-12-19,2023-01-04,2023-01-06,2023-05-29,2,Lisboa,32,Telecomunicações,501507930,505134195,instituto superior tecnico,warpcom services
9681408,Empreitadas de obras públicas,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",45316000-5 - Instalação de sistemas de iluminação e de sinalização,"Infraestruturas de Portugal, S. A.","SICE - SOCIEDAD IBERICA DE CONSTRUCCIONES ELECTRICAS,S.A.","980163358-SICE - SOCIEDAD IBERICA DE CONSTRUCCIONES ELECTRICAS,S.A. | 501237445-OMNINSTAL - ELECTRICIDADE, S.A. | 502496878-Construções Pragosa, SA | 501145923-Canas - Engenharia e Construção, S.A. | 507513908-I-Sete Inovação Soluções Económicas e Tecnologias Ecológicas, SA | 505265869-Conecticabo - Instalação de | 501497889-Cunha Bastos, Lda",750000.0,158110.11,133458.34,2022-10-27,2023-01-05,2023-01-06,2025-09-23,7,,45,Construção,503933813,980163358,infraestruturas de portugal,sice sociedad iberica de construcciones electricas
9666197,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",15800000-6 - Produtos alimentares diversos,Município de Valpaços,SOGENAVE - Sociedade Geral de Abastecimento à Navegação e Industria Hoteleira S.A,"502916974-MESTRE ALIMENTAR - COMERCIALIZAÇÃO DE PRODUTOS ALIMENTARES, LIMITADA | 502210630-Distribui Comércio Distribuição Produtos Alimentares, Lda. | 501838473-PEREIRA &amp; RIBEIRO, LDA | 507054350-FILISUPER - Comércio de Produtos Alimentares Lda. | 500271518-Sogenave - Sociedade Geral de Abastecimentos à Navegação e Indústria Hoteleira, SA | 509661831-Gelcurto Produtos Alimentares, Lda.",96063.9,20824.4,7267.46,2022-12-19,2023-01-02,2023-01-02,2023-07-02,6,Valpaços,15,Alimentação e bebidas,506874320,500271518,municipio de valpacos,sogenave sociedade geral de abastecimento a navegacao e industria hoteleira
9677665,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",48000000-8 - Pacotes de software e sistemas de informação,Instituto Politécnico de Leiria,"Inetum España, S.A. Sucursal em Portugal","510728189-CLARANET II SOLUTIONS, S.A. | 980079659-INETUM ESPAÑA SA",110385.0,109138.22,109138.22,2022-12-29,2023-01-04,2023-01-05,2023-03-02,2,Leiria,48,Tecnologias de Informação,506971244,980079659,instituto politecnico de leiria,inetum espana sucursal em portugal
9684920,Empreitadas de obras públicas,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",45453000-7 - Obras de revisão e recuperação,"CMPH - DomusSocial - Empresa de Habitação e Manutenção do Município do Porto, E. M.","Nortejuvil, Sociedade de Construções, Lda","505822385-RC3 - Restauros e Construção, Lda | 513351655-Casaplano Engenharia e Construção, Lda | 506378527-NORTEJUVIL, SOCIEDADE DE CONSTRUÇÕES LDA | 514615400-TRIVIBALER - Engenharia e Manutenção Industrial Unipessoal, Lda",147600.0,139866.58,145798.39,2022-12-21,2023-01-05,2023-01-06,2024-01-22,4,Porto,45,Construção,505037700,506378527,cmph domussocial empresa de habitacao e manutencao do municipio do porto e m,nortejuvil sociedade de construcoes
9686212,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",44211100-3 - Módulos pré-fabricados portáteis,Município de Olhão,"Algeco – Construções Pré-fabricadas, S.A.,","502721871-Algeco - Construções Pré-Fabricadas, S.A. | 508190495-Alugal, Lda",361200.0,321959.0,432203.86,2022-09-01,2023-01-05,2023-01-06,2024-12-30,2,Olhão,44,Construção,506321894,502721871,municipio de olhao,algeco construcoes pre fabricadas
9686548,Aquisição de serviços,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",71300000-1 - Serviços de engenharia,Município de Cascais,"GREEN WORLD, LDA","508394252-imagem urbana lda | 502325631-UON Consulting, S.A. | 510002455-GREEN WORLD, LDA | 508670837-Certigy Arquitetura e Engenharia. Lda. | 514171570-Vasconcelos e Amaral, Lda. | 510691943-G3E | 510020941-Genera, Lda.",141801.0,6864.0,6864.0,2022-11-14,2023-01-05,2023-01-06,2025-10-07,7,Cascais,71,Arquitetura e engenharia,505187531,510002455,municipio de cascais,green world
